SampleID	Year	DPFS	Date	Date2	Night	Temp	?TEMP24_hrs	?TEMP48_hrs	?TEMP72_hrs	Q	ChangeQ24_hrs	ChangeQ48_hrs	ChangeQ72_hrs	MoonPhase	CODE	LunarDay	THETA	percillum	SINEpercillum	COSINEpercillum	Nsuckers(5%)	Nsuckers(100%)	Nsturgeon	Ninverts	Ninverts100	Nfamilies	Biomass_mg	Biomass_g	Biomass_g100	SampleID
ID1	2011	15	5/19/2011	19-May	1	13.657625	0.011875	0.185583333	0.617916667	12.7	-0.97	-6.02	-5.34	WaningGibbous	WAG	15	3.25	0.94	0.808	0.59	0	0	0	71	1420	7	4565.15	4.57	91.3	ID1
ID2	2011	16	5/20/2011	20-May	2	14.42829167	0.770666667	0.782541667	0.95625	12.31	-0.38	-1.35	-6.4	WaningGibbous	WAG	16	3.467	0.87	0.764	0.645	0	0	0	0	0	0	0	0	0	ID2
ID3	2011	17	5/21/2011	21-May	3	16.27879167	1.8505	2.621166667	2.633041667	9.96	-2.35	-2.73	-3.7	WaningGibbous	WAG	17	3.683	0.79	0.71	0.704	7	140	0	261	5220	6	16816.12	16.82	336.3	ID3
ID4	2011	18	5/22/2011	22-May	4	17.42270833	1.143916667	2.994416667	3.765083333	10.98	1.02	-1.33	-1.71	WaningGibbous	WAG	18	3.9	0.7	0.644	0.765	43	860	75	0	0	0	0	0	0	ID4
ID5	2011	19	5/23/2011	23-May	5	18.14841667	0.725708333	1.869625	3.720125	11.83	0.84	1.86	-0.49	WaningGibbous	WAG	19	4.117	0.61	0.573	0.82	299	5980	756	170	3400	9	11365.98	11.37	227.3	ID5
ID6	2011	20	5/24/2011	24-May	6	17.53404167	-0.614375	0.111333333	1.25525	11.17	-0.66	0.19	1.21	LastQuarter	LQ	20	4.333	0.5	0.479	0.878	834	16680	1546	257	5140	10	17110.5	17.11	342.2	ID6
ID7	2011	21	5/25/2011	25-May	7	17.24054167	-0.2935	-0.907875	-0.182166667	11.31	0.14	-0.52	0.33	WaningCrescent	WNC	21	4.55	0.42	0.408	0.913	601	12020	2413	0	0	0	0	0	0	ID7
ID8	2011	22	5/26/2011	26-May	8	15.815375	-1.425166667	-1.718666667	-2.333041667	10.46	-0.85	-0.71	-1.37	WaningCrescent	WNC	22	4.767	0.33	0.324	0.946	1095	21900	3147	394	7880	10	25680.41	25.68	513.6	ID8
ID9	2011	23	5/27/2011	27-May	9	15.87383333	0.058458333	-1.366708333	-1.660208333	11.53	1.07	0.22	0.36	WaningCrescent	WNC	23	4.983	0.24	0.238	0.971	0	0	2129	0	0	0	0	0	0	ID9
ID10	2011	24	5/28/2011	28-May	10	15.719875	-0.153958333	-0.0955	-1.520666667	8.77	-2.77	-1.7	-2.55	WaningCrescent	WNC	24	5.2	0.16	0.159	0.987	67	1340	0	106	2120	8	5929.07	5.93	118.6	ID10
ID11	2011	25	5/29/2011	29-May	11	15.38570833	-0.334166667	-0.488125	-0.429666667	10.19	1.42	-1.35	-0.27	WaningCrescent	WNC	25	5.417	0.1	0.1	0.995	49	980	661	81	1620	10	4498.61	4.5	90	ID11
ID12	2011	26	5/30/2011	30-May	12	17.06891667	1.683208333	1.349041667	1.195083333	8.8	-1.38	0.04	-2.73	WaningCrescent	WNC	26	5.633	0.05	0.05	0.999	50	1000	502	53	1060	7	3244.93	3.24	64.9	ID12
ID13	2011	27	5/31/2011	31-May	13	18.84616667	1.77725	3.460458333	3.126291667	7.74	-1.06	-2.44	-1.02	WaningCrescent	WNC	27	5.85	0.02	0.02	1	0	0	669	0	0	0	0	0	0	ID13
ID14	2011	28	6/1/2011	1-Jun	14	17.755875	-1.090291667	0.686958333	2.370166667	8.49	0.75	-0.31	-1.7	NewMoon	NM	0	0	0	0	1	18	360	0	37	740	7	2429.38	2.43	48.6	ID14
ID15	2011	29	6/2/2011	2-Jun	15	17.61704167	-0.138833333	-1.229125	0.548125	8.3	-0.19	0.55	-0.51	WaxingCrescent	WXC	1	0.217	0.01	0.01	1	7	140	333	57	1140	11	2969.31	2.97	59.4	ID15
ID16	2011	30	6/3/2011	3-Jun	16	18.32270833	0.705666667	0.566833333	-0.523458333	8.24	-0.05	-0.25	0.5	WaxingCrescent	WXC	2	0.433	0.03	0.03	1	8	160	480	37	740	6	2262.15	2.26	45.2	ID16
ID17	2011	31	6/4/2011	4-Jun	17	18.69129167	0.368583333	1.07425	0.935416667	7.86	-0.38	-0.43	-0.63	WaxingCrescent	WXC	3	0.65	0.08	0.08	0.997	22	440	230	56	1120	5	3851.05	3.85	77	ID17
ID18	2011	32	6/5/2011	5-Jun	18	19.12758333	0.436291667	0.804875	1.510541667	6.48	-1.38	-1.76	-1.81	WaxingCrescent	WXC	4	0.867	0.15	0.149	0.989	22	440	211	63	1260	7	4413.4	4.41	88.3	ID18
ID19	2011	33	6/6/2011	6-Jun	19	20.46554167	1.337958333	1.77425	2.142833333	6.63	0.14	-1.24	-1.62	WaxingCrescent	WXC	5	1.083	0.24	0.238	0.971	43	860	400	37	740	6	2577.84	2.58	51.6	ID19
ID20	2011	34	6/7/2011	7-Jun	20	21.87054167	1.405	2.742958333	3.17925	6.3	-0.33	-0.19	-1.57	WaxingCrescent	WXC	6	1.3	0.34	0.333	0.943	188	3760	598	69	1380	5	4648.63	4.65	93	ID20
ID21	2011	35	6/8/2011	8-Jun	21	21.549	-0.321541667	1.083458333	2.421416667	6.91	0.61	0.28	0.42	FirstQuarter	FQ	7	1.517	0.5	0.479	0.878	79	1580	191	7	140	6	563.11	0.56	11.3	ID21
ID22	2011	36	6/9/2011	9-Jun	22	20.10275	-1.44625	-1.767791667	-0.362791667	11.61	4.71	5.32	4.99	WaxingGibbous	WXG	8	1.733	0.57	0.54	0.842	0	0	4	0	0	0	0	0	0	ID22
ID23	2011	37	6/10/2011	10-Jun	23	18.90525	-1.1975	-2.64375	-2.965291667	11.19	-0.42	4.29	4.9	WaxingGibbous	WXG	9	1.95	0.68	0.629	0.778	0	0	0	0	0	0	0	0	0	ID23
ID24	2011	38	6/11/2011	11-Jun	24	17.01820833	-1.887041667	-3.084541667	-4.530791667	12.14	0.94	0.52	5.23	WaxingGibbous	WXG	10	2.167	0.78	0.703	0.711	0	0	0	0	0	0	0	0	0	ID24
ID25	2011	39	6/12/2011	12-Jun	25	15.91454167	-1.103666667	-2.990708333	-4.188208333	12.44	0.3	1.24	0.82	WaxingGibbous	WXG	11	2.383	0.87	0.764	0.645	107	2140	0	36	720	6	960.45	0.96	19.2	ID25
ID26	2011	40	6/13/2011	13-Jun	26	16.613625	0.699083333	-0.404583333	-2.291625	13.29	0.85	1.15	2.09	WaxingGibbous	WXG	12	2.6	0.94	0.808	0.59	66	1320	71	94	1880	6	1997.46	2	39.9	ID26
ID27	2011	41	6/14/2011	14-Jun	27	18.26729167	1.653666667	2.35275	1.249083333	11.01	-2.27	-1.42	-1.12	WaxingGibbous	WXG	13	2.817	0.98	0.83	0.557	144	2880	100	71	1420	2	1131.47	1.13	22.6	ID27
ID28	2011	42	6/15/2011	15-Jun	28	19.33	1.062708333	2.716375	3.415458333	8.17	-2.85	-5.12	-4.27	FullMoon	FM	14	3.033	1	0.841	0.54	136	2720	82	43	860	6	971.86	0.97	19.4	ID28
ID29	2011	43	6/16/2011	16-Jun	29	19.43670833	0.106708333	1.169416667	2.823083333	7.43	-0.73	-3.58	-5.85	WaningGibbous	WAG	15	3.25	0.99	0.836	0.549	99	1980	65	38	760	5	809.32	0.81	16.2	ID29
ID30	2011	44	6/17/2011	17-Jun	30	19.941125	0.504416667	0.611125	1.673833333	6.41	-1.02	-1.76	-4.6	WaningGibbous	WAG	16	3.467	0.96	0.819	0.574	128	2560	17	92	1840	3	3938.04	3.94	78.8	ID30
ID31	2011	45	6/18/2011	18-Jun	31	20.73970833	0.798583333	1.303	1.409708333	6.26	-0.15	-1.18	-1.91	WaningGibbous	WAG	17	3.683	0.91	0.79	0.614	66	1320	6	71	1420	5	3242.82	3.24	64.9	ID31
ID32	2011	46	6/19/2011	19-Jun	32	21.17183333	0.432125	1.230708333	1.735125	6.65	0.39	0.24	-0.79	WaningGibbous	WAG	18	3.9	0.84	0.745	0.667	28	560	3	64	1280	3	3542.12	3.54	70.8	ID32
