ID101	ID125	ID8	ID100	ID103	ID48	ID104	ID127	ID3	ID6	ID102	ID124	ID128	ID155	ID107	ID126	ID153	ID111	ID106	ID158	ID59	ID154	ID5	ID47	ID170	ID83	ID138	ID44	ID194	ID46	ID192	ID51	ID169	ID212	ID156	ID157	ID91	ID129	ID58	ID110	ID79	ID199	ID123	ID37	ID152	ID112	ID198	ID90	ID193	ID159	ID85	ID164	ID40	ID229	ID41	ID77	ID132	ID87	ID161	ID195	ID200	ID190	ID211	ID86	ID105	ID238	ID136	ID10	ID130	ID84	ID163	ID197	ID191	ID230	ID61	ID26	ID30	ID167	ID201	ID108	ID162	ID113	ID168	ID109	ID114	ID131	ID236	ID239	ID38	ID42	ID89	ID187	ID11	ID76	ID118	ID66	ID202	ID119	ID149	ID231	ID62	ID82	ID185	ID72	ID215	ID186	ID115	ID228	ID1	ID27	ID31	ID36	ID39	ID80	ID117	ID214	ID225	ID20	ID116	ID49	ID142	ID175	ID227	ID56	ID140	ID188	ID232	ID78	ID32	ID165	ID182	ID203	ID216	ID18	ID60	ID53	ID92	ID240	ID148	ID204	ID181	ID15	ID17	ID184	ID134	ID196	ID12	ID121	ID172	ID234	ID177	ID221	ID224	ID139	ID235	ID241	ID67	ID93	ID160	ID206	ID33	ID65	ID183	ID52	ID74	ID176	ID174	ID213	ID28	ID71	ID120	ID171	ID209	ID45	ID135	ID151	ID63	ID166	ID189	ID205	ID57	ID122	ID141	ID210	ID55	ID64	ID233	ID29	ID70	ID88	ID217	ID14	ID16	ID19	ID69	ID173	ID220	ID25	ID94	ID96	ID226	ID137	ID237	ID95	ID50	ID68	ID178	ID81	ID179	ID180	ID223	ID43	ID73	ID147	ID150	ID242	ID243	ID75	ID98	ID144	ID207	ID97	ID222	ID208	ID133	ID146	ID145	ID99	ID244	ID143	ID247	ID245	ID246	ID54	ID219	ID21	ID218	ID248	ID249	ID250
429	317	283	210	203	256	172	90	118	187	167	87	99	53	94	73	88	126	117	44	79	39	84	129	28	141	22	119	86	117	93	129	13	19	21	13	27	37	41	36	114	26	63	63	32	46	36	30	69	15	110	43	103	76	83	76	22	101	26	51	29	56	6	95	49	19	14	54	36	91	11	55	38	76	24	10	43	17	39	38	11	54	8	33	29	23	33	10	42	66	40	11	36	38	31	37	27	31	7	63	22	61	12	54	19	9	26	46	30	5	39	42	54	53	32	6	36	59	31	39	1	1	24	17	7	6	48	34	41	19	3	11	13	48	24	45	2	11	4	12	2	29	40	3	12	19	30	25	11	35	7	37	25	1	30	18	5	7	3	8	21	34	4	37	26	0	4	10	4	10	17	11	11	24	11	6	17	8	4	9	8	18	4	9	7	21	27	2	13	26	7	19	19	24	9	1	1	7	3	1	14	2	9	0	28	13	1	23	1	3	11	19	13	1	2	2	3	7	2	7	5	1	8	1	3	1	3	3	0	1	0	0	0	2	0	2	0	0	0	0
58	45	85	37	33	30	49	45	130	51	30	48	31	59	50	36	21	17	35	42	32	39	73	22	7	12	23	24	38	26	26	15	11	12	30	31	5	42	14	14	12	58	33	49	13	7	48	6	23	27	6	11	14	32	14	31	29	7	9	29	47	12	10	6	29	12	13	30	21	7	12	23	28	9	9	5	8	6	14	15	16	9	4	11	14	21	2	2	31	6	6	18	25	33	7	7	13	5	15	4	7	6	11	11	12	12	8	15	34	0	4	23	15	7	6	8	23	7	5	11	3	6	28	3	7	7	8	16	9	5	6	14	12	9	7	9	5	4	5	8	4	10	9	9	10	17	10	11	3	7	2	11	9	6	8	7	6	1	2	9	2	2	6	3	9	3	1	4	4	12	6	5	6	11	8	4	4	3	8	6	3	10	8	6	3	6	8	2	13	6	6	7	5	7	8	1	15	2	3	4	10	7	3	0	2	7	5	4	0	1	6	7	6	2	4	3	1	14	2	0	3	4	5	2	6	2	1	2	2	1	1	2	2	2	0	1	0	0	0	1
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	93	0	11	0	0	0	0	0	64	102	0	0	106	0	70	0	0	0	1	0	0	0	0	81	0	0	0	0	0	0	0	0	1	1	0	0	0	0	75	0	0	64	26	0	0	0	0	0	0	0	51	76	41	27	0	0	0	0	32	0	0	0	34	58	0	0	29	0	0	0	15	18	0	29	0	0	39	0	1	0	26	2	0	0	0	66	26	0	0	0	3	33	0	0	1	0	3	14	0	42	3	0	0	0	14	0	3	0	24	0	23	0	51	42	0	0	2	0	0	3	0	0	0	4	10	1	13	0	0	8	7	21	37	37	0	0	18	6	0	0	0	3	15	16	32	1	2	13	2	0	0	0	13	4	1	0	27	1	2	12	26	6	0	32	2	2	11	0	0	0	4	14	4	23	23	25	0	7	20	25	0	1	3	0	1	1	0	0	0	5	0	14	12	0	12	3	0	7	0	0	0	1	0	8	7	2	6	4	1	1	2	0	1	1	1	0
0	26	12	1	0	0	0	21	0	0	0	26	21	35	0	21	43	0	2	20	0	30	0	0	15	0	12	9	18	0	10	0	14	11	30	19	0	17	0	2	0	22	14	0	38	0	11	0	8	34	0	16	0	0	0	0	12	0	16	9	10	8	4	0	0	1	8	15	8	0	15	11	12	1	0	0	0	7	11	0	16	2	12	1	3	6	2	0	1	0	0	17	11	0	0	0	8	0	7	0	0	0	15	0	4	19	0	0	0	0	1	0	0	0	2	5	0	1	0	0	6	9	1	0	9	14	2	0	0	12	14	9	3	1	0	0	0	0	2	12	11	8	1	13	4	5	7	0	5	0	8	0	1	5	0	0	0	0	12	3	1	0	8	0	0	9	6	4	0	0	0	2	4	0	6	16	0	5	8	7	0	0	2	5	0	0	0	1	0	0	6	2	1	1	0	4	4	0	0	0	0	2	0	0	0	0	5	0	10	7	0	0	0	0	3	0	1	0	0	3	6	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0
22	0	0	10	101	0	20	0	7	9	34	0	0	15	30	1	11	36	4	13	1	7	4	0	6	2	0	0	7	0	11	0	6	3	16	16	1	0	0	63	6	11	0	10	16	46	12	2	7	5	1	8	0	1	6	0	0	1	6	11	10	6	2	2	10	0	0	0	0	1	3	3	6	0	1	0	0	2	4	19	4	10	3	11	20	0	0	0	0	0	0	3	3	5	9	4	2	0	0	0	2	2	4	5	1	2	26	0	1	0	0	2	0	3	4	0	0	0	12	0	0	2	0	0	0	2	0	4	0	1	5	5	2	0	0	1	0	0	0	8	6	2	4	2	0	4	2	0	3	0	2	0	0	0	0	1	0	0	3	6	1	0	3	0	7	1	1	2	0	1	5	2	0	0	0	1	1	3	2	2	0	0	0	1	0	1	0	0	0	0	0	4	9	0	1	1	2	1	0	0	0	0	0	0	0	0	3	1	0	2	0	0	2	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	29	4	3	0	12	1	8	2	1	6	14	9	10	6	10	19	3	5	6	5	10	2	2	6	6	15	9	1	7	3	4	16	3	14	17	4	11	5	2	6	6	6	3	6	4	2	6	7	3	5	11	1	7	5	7	25	7	3	4	1	4	6	2	0	7	4	1	10	4	14	4	1	11	1	0	0	10	10	2	10	4	0	7	1	8	6	1	3	2	3	3	1	1	1	2	5	2	9	4	0	5	11	2	1	4	2	2	1	0	1	1	0	1	2	1	4	1	1	7	7	0	4	1	3	1	3	3	0	6	5	8	1	1	4	2	1	1	5	7	4	2	0	3	10	2	0	1	3	3	6	1	5	4	2	1	0	2	2	3	0	0	4	3	1	2	0	1	1	0	0	2	2	6	4	3	0	4	1	9	2	2	2	3	2	1	2	0	2	2	1	0	0	1	0	0	0	1	1	1	1	2	1	1	0	1	0	0	1	0	2	2	1	0	0	2	3	0	0	1	4	0	3	4	1	0	0	0	2	0	0	0	2	2	0	0	1	0	0	0
0	8	0	0	0	0	0	11	0	0	0	11	7	8	0	11	0	0	1	20	0	7	1	0	5	0	19	0	0	0	1	0	9	2	1	8	0	15	0	0	0	1	0	1	3	0	1	0	0	7	0	8	0	0	0	0	5	0	23	1	0	4	2	0	0	1	8	2	5	0	16	2	2	1	0	1	0	7	1	0	11	0	9	1	2	1	1	2	0	0	0	6	1	0	0	0	4	0	7	0	0	0	7	0	3	9	0	0	1	0	0	0	0	0	0	8	0	0	0	0	21	19	1	0	14	11	0	0	0	7	6	0	2	0	0	0	0	1	8	1	14	1	0	4	2	0	0	0	11	0	4	0	1	4	0	1	0	1	5	2	2	0	5	0	0	9	6	1	0	0	0	3	7	0	2	0	0	5	3	1	0	0	12	2	0	0	0	0	0	0	2	0	0	0	0	8	4	0	1	0	2	3	0	4	0	0	2	0	10	6	1	0	0	6	1	1	1	0	6	0	1	2	0	1	0	2	0	0	0	0	0	1	0	0	5	0	1	0	0	0
2	15	1	8	2	1	3	36	0	0	0	15	23	14	3	12	1	0	6	9	0	7	0	0	2	0	10	0	1	1	2	1	8	0	8	10	0	5	2	3	0	5	3	2	8	1	1	0	3	5	0	7	0	0	2	0	1	0	5	2	2	1	1	0	1	0	6	0	8	0	10	0	1	0	0	0	0	5	2	1	4	0	6	0	4	9	0	0	0	0	0	8	0	0	2	1	4	3	10	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	2	0	4	6	1	0	6	3	0	0	0	5	7	1	0	0	0	0	3	0	3	1	5	0	0	5	9	0	0	0	2	0	1	0	0	3	1	0	0	0	3	2	0	0	5	0	0	9	4	3	1	0	0	1	0	0	3	1	0	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	5	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	0	22	0	0	5	2	0	0	6	1	2	2	11	0	1	0	2	1	0	0	0	0	0	0	33	0	0	0	1	0	7	2	2	6	0	0	0	1	0	3	1	0	1	3	6	0	0	1	0	6	0	1	0	0	6	0	0	0	2	0	0	0	2	0	15	0	3	0	8	0	1	0	0	0	0	4	1	3	3	1	2	2	3	4	0	1	0	0	0	2	0	1	3	0	2	2	9	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	5	5	0	0	0	0	7	0	1	0	4	2	0	0	0	0	3	0	4	0	0	0	0	0	19	2	2	0	0	5	5	0	1	2	0	1	4	1	3	4	0	0	0	0	2	1	0	0	3	0	0	1	0	2	0	0	2	1	1	0	2	0	0	1	4	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	4	0	0	0	0	2	0	1	0	1	0	0	3	0	1	2	0	0	4	0	1	1	1	1	1	1	0	1	2	0	1	1	0	0	0	0	0	1	0
0	1	4	1	1	1	0	0	0	1	2	2	0	0	4	2	1	5	3	4	1	3	3	2	0	2	2	1	0	0	3	0	0	0	2	4	0	1	1	7	2	0	1	2	0	14	0	0	0	1	2	0	0	0	0	1	1	1	0	2	3	2	0	3	2	2	2	1	2	1	0	0	3	2	4	0	0	0	0	2	1	5	2	3	3	2	0	3	0	1	1	5	0	2	7	1	2	2	0	1	3	3	0	2	0	0	5	2	0	0	0	2	0	5	6	1	1	1	15	1	0	0	0	1	0	2	0	3	0	1	1	2	3	2	0	0	0	0	1	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	1	1	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	2	2	0	2	0	3	2	0	0	0	4	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	4	1	0	3	1	0	0	1	0	0	2	1	3	0	0	0	0	1	0	0	0	1	0	0	1	0
